SplittableRandom.nextInt()

------------------|---------------------------------------------------------------------|-----|----------------------|---------|----------|----------|-------------------------|--------------
             seed |                                                            gamma 1s | Tid |            test name |    ntup | tsamples | psamples |                  pvalue | assessment(s)
------------------|---------------------------------------------------------------------|-----|----------------------|---------|----------|----------|-------------------------|--------------
 12612f21aaf3789f | 0011001101110101011110000110010111101011001011001110010111000010 34 |   0 |    diehard_birthdays |  0... 0 |      100 |      100 | 0.93705326...0.93705326 | 1*PASSED
 493e36050728b2b5 | 1111100100010110001011100011111011000001101010111111100101101000 35 |   0 |    diehard_birthdays |  0... 0 |      100 |      100 | 0.96048405...0.96048405 | 1*PASSED
 950c152c182ae121 | 1110001100110110100011111101010100111101011011001101001101010010 36 |   0 |    diehard_birthdays |  0... 0 |      100 |      100 | 0.53539091...0.53539091 | 1*PASSED
 828f0396b00483a2 | 0101100101010011110011100111110011101011011001001100101110010111 37 |   0 |    diehard_birthdays |  0... 0 |      100 |      100 | 0.53130107...0.53130107 | 1*PASSED
 a27bdcdb8679ef05 | 1101000111010101111001010110110110110101100110111010011011010110 38 |   0 |    diehard_birthdays |  0... 0 |      100 |      100 | 0.87615237...0.87615237 | 1*PASSED
 36d5ada44ea3a1fd | 1110111100101001100111110001001010001011001110101100101111111111 39 |   0 |    diehard_birthdays |  0... 0 |      100 |      100 | 0.39533481...0.39533481 | 1*PASSED
 6454a75b8d6b7067 | 1101010101111011001000101010111111111110110101011110001011101001 40 |   0 |    diehard_birthdays |  0... 0 |      100 |      100 | 0.18405497...0.18405497 | 1*PASSED
 c98084848c8da8b7 | 1111111111110100110111011010111010010100110011010100110101110101 41 |   0 |    diehard_birthdays |  0... 0 |      100 |      100 | 0.95565313...0.95565313 | 1*PASSED
 e6d485f30d15e3a9 | 1001011101001110100110111110010111111011111100011101101111110100 42 |   0 |    diehard_birthdays |  0... 0 |      100 |      100 | 0.72566565...0.72566565 | 1*PASSED
 e47d1639adba52b3 | 0111011101111011110000101111011011111111101101010101001101101011 43 |   0 |    diehard_birthdays |  0... 0 |      100 |      100 | 0.87902457...0.87902457 | 1*PASSED
 db280b23639b9ecd | 1101111110011101111101111110001010101000111110011110011110111110 44 |   0 |    diehard_birthdays |  0... 0 |      100 |      100 | 0.22685638...0.22685638 | 1*PASSED
 60ee51594e229a51 | 0111001111011111111101101111110111111111111000110101101000110100 45 |   0 |    diehard_birthdays |  0... 0 |      100 |      100 | 0.48261178...0.48261178 | 1*PASSED
 97ae67340490633b | 1000001011111111101001111111111110101111111011111011101011010110 46 |   0 |    diehard_birthdays |  0... 0 |      100 |      100 | 0.59304657...0.59304657 | 1*PASSED
 2fa42b21bb55bb73 | 1110110001011111110100111011101000101110111111111101111111111011 47 |   0 |    diehard_birthdays |  0... 0 |      100 |      100 | 0.27474808...0.27474808 | 1*PASSED
 bb14fc52490968db | 1111111111111101110001011101111110110011111101010001111011111110 48 |   0 |    diehard_birthdays |  0... 0 |      100 |      100 | 0.60249092...0.60249092 | 1*PASSED
 612deb0b4c0a83e7 | 1111111111011000111001100011101111111111111011110111111110110101 49 |   0 |    diehard_birthdays |  0... 0 |      100 |      100 | 0.82422352...0.82422352 | 1*PASSED
 487a8ce0b9aa4ff7 | 1111110101111001101011011111111111111100110110111110011011111111 50 |   0 |    diehard_birthdays |  0... 0 |      100 |      100 | 0.60193057...0.60193057 | 1*PASSED
  e4d098774100fd3 | 1101111110100111011110111111001111011011111111111011111110101111 51 |   0 |    diehard_birthdays |  0... 0 |      100 |      100 | 0.36368535...0.36368535 | 1*PASSED
 6abd4b5a98ad1034 | 1011110011011111111111101111110111111111001111011101111111101011 52 |   0 |    diehard_birthdays |  0... 0 |      100 |      100 | 0.01172505...0.01172505 | 1*PASSED
 db125074c2ec5d4f | 1111110101111110011111111110111111111010100111110111111111011111 53 |   0 |    diehard_birthdays |  0... 0 |      100 |      100 | 0.50118718...0.50118718 | 1*PASSED
 aaa591d565a79c77 | 1111101111111111111111101111001111111101110111101111111101011011 54 |   0 |    diehard_birthdays |  0... 0 |      100 |      100 | 0.52104666...0.52104666 | 1*PASSED
 41ac1c13164f04f7 | 1111111101111110111110110110111011011011111111111101111111111111 55 |   0 |    diehard_birthdays |  0... 0 |      100 |      100 | 0.39997095...0.39997095 | 1*PASSED
 9452c977ae677f9b | 1111111111111111011111011110111111111111111101111111110110110011 56 |   0 |    diehard_birthdays |  0... 0 |      100 |      100 | 0.48208266...0.48208266 | 1*PASSED
 4b6873c0e2a730fa | 1111111111001111111111111111010011111111111110111111110111111111 57 |   0 |    diehard_birthdays |  0... 0 |      100 |      100 | 0.96555163...0.96555163 | 1*PASSED
 f48fe325faa03b95 | 1101111111111111111111111111011111100111111011111111111110111111 58 |   0 |    diehard_birthdays |  0... 0 |      100 |      100 | 0.18474763...0.18474763 | 1*PASSED
 fc69eb4106e84778 | 0111111111111111110111111111111111111111011111111111111001111111 59 |   0 |    diehard_birthdays |  0... 0 |      100 |      100 | 0.00000000...0.00000000 | 1*FAILED
 558272c0b5a3fae2 | 1101111111011111111111111111111111111111111111111111111110111011 60 |   0 |    diehard_birthdays |  0... 0 |      100 |      100 | 0.00000000...0.00000000 | 1*FAILED
