SplittableRandom.nextIntAlt1()

------------------|---------------------------------------------------------------------|-----|----------------------|---------|----------|----------|-------------------------|--------------
             seed |                                                            gamma 1s | Tid |            test name |    ntup | tsamples | psamples |                  pvalue | assessment(s)
------------------|---------------------------------------------------------------------|-----|----------------------|---------|----------|----------|-------------------------|--------------
 2254f7ed92895149 | 0011101101111111001100100010100110111101000001101110110100100001 34 |   0 |    diehard_birthdays |  0... 0 |      100 |      100 | 0.89457458...0.89457458 | 1*PASSED
  5f2eed8754e9b8d | 1011000110001101011101101111001011110001000011011111100100001110 35 |   0 |    diehard_birthdays |  0... 0 |      100 |      100 | 0.16596283...0.16596283 | 1*PASSED
 7aae0bcf95263f81 | 0011110110110110110110010010011111010100000110111100110111100001 36 |   0 |    diehard_birthdays |  0... 0 |      100 |      100 | 0.21444214...0.21444214 | 1*PASSED
 c03e7924ec6d0c4d | 0111110011000100101101101100111100001101011011011001111100111010 37 |   0 |    diehard_birthdays |  0... 0 |      100 |      100 | 0.46466149...0.46466149 | 1*PASSED
 f79d6c554021a632 | 0011111011101100111110101001111001000011001111011010101100001111 38 |   0 |    diehard_birthdays |  0... 0 |      100 |      100 | 0.95215324...0.95215324 | 1*PASSED
 401ea8e88a7a89b5 | 1001110111011011100101111000111110100000011111010100101010111111 39 |   0 |    diehard_birthdays |  0... 0 |      100 |      100 | 0.43198049...0.43198049 | 1*PASSED
 b5b80636b31fba84 | 1101011001101011000001110111001101111101111001110011111001001111 40 |   0 |    diehard_birthdays |  0... 0 |      100 |      100 | 0.08015750...0.08015750 | 1*PASSED
 8bbcae57192facde | 0101101011101001111111001011110111000100111101011101100110110111 41 |   0 |    diehard_birthdays |  0... 0 |      100 |      100 | 0.70237475...0.70237475 | 1*PASSED
 88f7f13eea5fa1d3 | 0100111011111101011010001100001011010011111111111110101101111101 42 |   0 |    diehard_birthdays |  0... 0 |      100 |      100 | 0.74747222...0.74747222 | 1*PASSED
 22db40aa99f42809 | 1101111110111111111110110111111001111001001101001101100100110001 43 |   0 |    diehard_birthdays |  0... 0 |      100 |      100 | 0.90721666...0.90721666 | 1*PASSED
 f464c81b532cf149 | 0110101011011010111010110111111111101110011111010111001011011011 44 |   0 |    diehard_birthdays |  0... 0 |      100 |      100 | 0.92353287...0.92353287 | 1*PASSED
 4cc532e2cc25f699 | 1011001110110011101110111011101010111111101100101111110101011111 45 |   0 |    diehard_birthdays |  0... 0 |      100 |      100 | 0.98073950...0.98073950 | 1*PASSED
 360e39c92199330b | 1110111111111001101101111111001101100110001111011111100101111011 46 |   0 |    diehard_birthdays |  0... 0 |      100 |      100 | 0.88397598...0.88397598 | 1*PASSED
