SplittableRandom.nextIntAlt2()

------------------|---------------------------------------------------------------------|-----|----------------------|---------|----------|----------|-------------------------|--------------
             seed |                                                            gamma 1s | Tid |            test name |    ntup | tsamples | psamples |                  pvalue | assessment(s)
------------------|---------------------------------------------------------------------|-----|----------------------|---------|----------|----------|-------------------------|--------------
 e6276e954d699c25 | 0000000000000000000000000000000000000000000010000000000000000000  1 |   0 |    diehard_birthdays |  0... 0 |      100 |      100 | 0.33898541...0.33898541 | 1*PASSED
 49dd3de869898026 | 0000000000000000000110000000000000000000000000000000000000000000  2 |   0 |    diehard_birthdays |  0... 0 |      100 |      100 | 0.60000608...0.60000608 | 1*PASSED
 6918e1dc259da33d | 0000000000000000000000001000000000001000000000100000000000000000  3 |   0 |    diehard_birthdays |  0... 0 |      100 |      100 | 0.78121299...0.78121299 | 1*PASSED
 b713890930a2c9d9 | 0000000000000010000000010000000000000000000000000000100000001000  4 |   0 |    diehard_birthdays |  0... 0 |      100 |      100 | 0.93791604...0.93791604 | 1*PASSED
 467b3e9e4d69916b | 0000000000000000000000010000000001000000000000000000000000001101  5 |   0 |    diehard_birthdays |  0... 0 |      100 |      100 | 0.46846383...0.46846383 | 1*PASSED
 80c09377264272d4 | 0000000000000010000011001000000000000010000000000000000000000010  6 |   0 |    diehard_birthdays |  0... 0 |      100 |      100 | 0.43337496...0.43337496 | 1*PASSED
 4c60be6e63c5eb2f | 0000000000000000001100000010000010100000000000000000110000000000  7 |   0 |    diehard_birthdays |  0... 0 |      100 |      100 | 0.72231844...0.72231844 | 1*PASSED
 c1fb6adabe9c9857 | 0000000001010100000110001000000010000000000001000000000000000000  8 |   0 |    diehard_birthdays |  0... 0 |      100 |      100 | 0.38407137...0.38407137 | 1*PASSED
 f7016cffb223de91 | 0000000000000101000001101000000000000000000000100001010000000001  9 |   0 |    diehard_birthdays |  0... 0 |      100 |      100 | 0.58557562...0.58557562 | 1*PASSED
 a0dfabe1c83afcff | 0100000000000000010000000110000001100000000001010000100000000100 10 |   0 |    diehard_birthdays |  0... 0 |      100 |      100 | 0.16009814...0.16009814 | 1*PASSED
 e3c5bb85188cb826 | 0001000010000000000000010100010000000001001000100000100000001010 11 |   0 |    diehard_birthdays |  0... 0 |      100 |      100 | 0.41034160...0.41034160 | 1*PASSED
 297ad7cfa15405ba | 0001001000000000110000000001000100101000000000000010000110001000 12 |   0 |    diehard_birthdays |  0... 0 |      100 |      100 | 0.03237617...0.03237617 | 1*PASSED
 4345ef2e6af66f1e | 0000000000000000010000001010110100110010000010000010001000000010 13 |   0 |    diehard_birthdays |  0... 0 |      100 |      100 | 0.88017451...0.88017451 | 1*PASSED
 2540b82ce178ed3b | 1000010000000001000010001000000010001000010011100100100001000000 14 |   0 |    diehard_birthdays |  0... 0 |      100 |      100 | 0.79261794...0.79261794 | 1*PASSED
 5f4f37bf65030d2c | 1001001000011101000010000000001010000000001000000000100000110001 15 |   0 |    diehard_birthdays |  0... 0 |      100 |      100 | 0.37865783...0.37865783 | 1*PASSED
 7289ed93ebee1008 | 0010100010000000000000110010000000001011101001000000000001011001 16 |   0 |    diehard_birthdays |  0... 0 |      100 |      100 | 0.60763200...0.60763200 | 1*PASSED
 68636fa1a1a5efed | 0100100000010000010100000010110101000001010000100001000000101001 17 |   0 |    diehard_birthdays |  0... 0 |      100 |      100 | 0.73381989...0.73381989 | 1*PASSED
 f0e8bb6741628df4 | 0000010000000110000010011100001001000101010001010001100000000011 18 |   0 |    diehard_birthdays |  0... 0 |      100 |      100 | 0.68302504...0.68302504 | 1*PASSED
 4fc30321b3430521 | 0000001001000001000100100101000100000100011101000000110100111000 19 |   0 |    diehard_birthdays |  0... 0 |      100 |      100 | 0.72450061...0.72450061 | 1*PASSED
 6c5166ac99d02919 | 0000001100100001011000000011101110000010101000000011100001001000 20 |   0 |    diehard_birthdays |  0... 0 |      100 |      100 | 0.63810444...0.63810444 | 1*PASSED
 2af91f26f03496bc | 0011000000110000100100010001101011011001011011000010000010000000 21 |   0 |    diehard_birthdays |  0... 0 |      100 |      100 | 0.81654233...0.81654233 | 1*PASSED
 f17807c8cffef05a | 1100011000000001001000001001110101110100000111001000001001100000 22 |   0 |    diehard_birthdays |  0... 0 |      100 |      100 | 0.18065129...0.18065129 | 1*PASSED
 8cc416cf1d7b61d2 | 0010000101100000100001100010110000001011100110110000100000110110 23 |   0 |    diehard_birthdays |  0... 0 |      100 |      100 | 0.99939659...0.99939659 | 1*WEAK
 4bbb7229e98b6b95 | 1010011100000011010101011010101101010100001000000000000110010010 24 |   0 |    diehard_birthdays |  0... 0 |      100 |      100 | 0.56168895...0.56168895 | 1*PASSED
 d86f716326305fa8 | 0010110001100100110100010101110101011001000000000001110010100100 25 |   0 |    diehard_birthdays |  0... 0 |      100 |      100 | 0.92537053...0.92537053 | 1*PASSED
 e13b3bd2b30775ad | 0010010001011000011001100101111010001110000100100001000101001110 26 |   0 |    diehard_birthdays |  0... 0 |      100 |      100 | 0.75252883...0.75252883 | 1*PASSED
 90ca1d51b81f6a54 | 0001101111101100010101101000001001000010100101001111100000010010 27 |   0 |    diehard_birthdays |  0... 0 |      100 |      100 | 0.03167770...0.03167770 | 1*PASSED
 88046f7b59cb6d32 | 1100001101100110110011010100100000000011011100110010000100110110 28 |   0 |    diehard_birthdays |  0... 0 |      100 |      100 | 0.95489362...0.95489362 | 1*PASSED
